GBS_ADJ;Yuan;Yuan;Yuan;;;;;;;;;;;x;
GBS;Great Blue Sky;Great Blue Sky;Great Blue Sky;;;;;;;;;;;x;
GBS_proletarian_dictatorship;Free Republic of Yuan;Free Republic of Yuan;Free Republic of Yuan;;;;;;;;;;;x;
GBS_presidential_dictatorship;Yuan Confederation;Yuan Confederation;Yuan Confederation;;;;;;;;;;;x;
GBS_bourgeois_dictatorship;Yuan Confederation;Yuan Confederation;Yuan Confederation;;;;;;;;;;;x;
GBS_fascist_dictatorship;Great Yuan;Great Yuan;Great Yuan;;;;;;;;;;;x;
GBS_absolute_monarchy;Great Blue Sky;Great Blue Sky;Great Blue Sky;;;;;;;;;;;x;
GBS_prussian_constitutionalism;Yuan Confederation;Yuan Confederation;Yuan Confederation;;;;;;;;;;;x;
GBS_hms_government;Yuan Confederation;Yuan Confederation;Yuan Confederation;;;;;;;;;;;x;
GBS_democracy;Yuan Confederation;Yuan Confederation;Yuan Confederation;;;;;;;;;;;x;
GBS_theocracy;Blue Sky Dynasty;Blue Sky Dynasty;Blue Sky Dynasty;;;;;;;;;;;x;
GBS_merchant_republic;Yuan Confederation;Yuan Confederation;Yuan Confederation;;;;;;;;;;;x;
GBS_feudal_monarchy;Yuan Dynasty;Yuan Dynasty;Yuan Dynasty;;;;;;;;;;;x;
GBS_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GBS_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GBS_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GBS_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GBS_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GBS_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GBS_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GBS_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GBS_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
